stat_id,player_id,date_of_game,stadium_name,rush_yards,num_rushes,rec_yards,num_receptions,points,snaps_played
51,7965,2024-10-16,Hampton PLC Stadium,96,5,92,1,3,77
52,6549,2024-11-07,Mullins LLC Stadium,55,28,46,9,21,71
53,8633,2024-08-30,"Moore, Holmes and Sanford Stadium",55,23,92,4,17,71
54,3646,2020-07-03,Baker Inc Stadium,70,11,163,8,12,44
55,5917,2023-01-01,Holloway Group Stadium,50,25,70,6,3,63
56,8212,2025-10-26,Torres LLC Stadium,104,27,159,12,0,72
57,8674,2023-04-09,"Drake, Gonzalez and Diaz Stadium",49,17,136,5,21,20
58,4980,2020-08-06,"Moss, Owens and Jones Stadium",113,22,185,10,14,56
59,1079,2025-06-02,Perez-Lee Stadium,19,16,120,7,0,62
60,8228,2023-01-24,"Martin, Glover and Bennett Stadium",35,1,193,1,24,20
61,2063,2026-02-04,"Conley, Smith and Taylor Stadium",106,22,75,3,14,62
62,4320,2024-02-10,Rodriguez PLC Stadium,51,21,106,7,12,66
63,4561,2022-04-09,"Lutz, Mcclain and Bean Stadium",88,0,65,5,12,6
64,6080,2022-07-16,Maddox and Sons Stadium,136,22,55,13,7,12
65,528,2021-05-27,Wells-Green Stadium,107,30,4,7,24,24
66,5506,2021-11-27,Watson Inc Stadium,144,4,8,6,17,73
67,691,2020-01-05,Buckley-Smith Stadium,138,30,11,12,14,28
68,7551,2023-09-11,"Ho, Rogers and Hurst Stadium",88,21,168,2,24,31
69,3761,2025-10-29,Todd Inc Stadium,34,25,42,13,21,13
70,5423,2020-08-13,"Patterson, Hinton and Cardenas Stadium",113,3,2,2,14,32
71,3318,2024-03-01,Walker-Small Stadium,149,12,87,5,24,17
72,2826,2025-08-19,"Blackwell, Fuentes and Hudson Stadium",43,10,161,1,18,63
73,6560,2021-06-13,Nolan LLC Stadium,95,19,116,12,3,65
74,528,2021-06-28,Baker PLC Stadium,55,17,96,4,14,47
75,3964,2024-04-10,Vasquez LLC Stadium,81,22,87,11,28,64
76,6834,2020-12-25,"Yates, Mclean and Williams Stadium",73,24,101,14,12,58
77,8830,2021-07-08,Frank LLC Stadium,99,21,142,3,3,18
78,3579,2020-09-28,Thomas-Jordan Stadium,9,4,33,9,6,50
79,7610,2024-01-14,Warner-Martin Stadium,36,6,156,2,6,24
80,7993,2023-01-26,Brown-Davis Stadium,66,24,147,13,0,48
81,2455,2023-12-29,Moore-King Stadium,5,9,128,12,0,58
82,4339,2021-12-23,"Valencia, Wells and Strickland Stadium",104,5,130,12,21,32
83,151,2022-03-07,Williams-Vasquez Stadium,128,11,125,1,14,18
84,7668,2025-06-15,"Ward, Long and Baker Stadium",81,10,184,3,0,71
85,8908,2022-10-12,"Robbins, Velez and Mitchell Stadium",27,10,147,12,6,29
86,6542,2020-07-25,Alvarez PLC Stadium,-5,10,199,6,14,37
87,8977,2020-01-03,Lewis-Burke Stadium,112,24,86,5,17,37
88,3511,2024-05-23,"Clark, Fox and Hoover Stadium",17,2,149,14,14,38
89,7471,2021-04-11,"Edwards, Wilcox and Jones Stadium",31,15,20,0,28,20
90,5006,2024-09-18,Rojas-Welch Stadium,12,28,29,3,18,5
91,9779,2022-10-09,"Garcia, Webster and Walker Stadium",134,15,173,15,3,50
92,5330,2026-01-31,Lopez-Bowman Stadium,68,10,170,10,14,19
93,7303,2021-09-21,"Stewart, Bray and Neal Stadium",145,26,127,13,18,77
94,9015,2025-02-05,Beck-Oneill Stadium,85,26,115,7,7,72
95,7984,2022-09-22,Meyer and Sons Stadium,48,28,77,8,12,2
96,1454,2024-06-17,Macdonald and Sons Stadium,-5,9,189,1,14,79
97,4206,2020-12-16,"Rodriguez, Vasquez and Reyes Stadium",51,6,55,0,28,4
98,1621,2025-08-09,"Morris, Cole and Mercado Stadium",120,10,104,1,12,44
99,5798,2022-06-06,"Bryant, Rojas and Garner Stadium",64,27,170,14,24,71
100,7418,2020-01-03,Mcclain-Paul Stadium,114,2,200,12,28,27
101,96,2021-02-13,Frye-Savage Stadium,5,5,165,14,24,66
102,3290,2022-01-23,Lee-Snyder Stadium,46,28,59,0,18,38
103,2042,2023-03-17,Callahan Inc Stadium,105,10,99,11,12,21
104,4853,2023-04-16,Fisher-Long Stadium,20,26,108,13,18,76
105,5325,2022-08-24,Foley PLC Stadium,113,19,148,12,17,27
106,3386,2023-01-11,Miller LLC Stadium,98,20,41,15,17,3
107,6077,2020-06-16,Salazar LLC Stadium,92,3,55,9,28,24
108,303,2023-09-12,"Brady, Greene and Parrish Stadium",75,30,11,10,14,6
109,8618,2023-09-01,"Boyle, Alvarez and Gallagher Stadium",18,16,92,1,14,46
110,3973,2022-09-22,Harris-Harris Stadium,12,7,25,3,28,59
111,427,2020-12-06,Cochran-Davis Stadium,35,17,172,2,21,58
112,353,2020-07-25,"Simpson, Turner and Ellis Stadium",83,18,122,5,21,43
113,6861,2022-07-08,"White, Grimes and Harris Stadium",98,20,109,15,7,24
114,1534,2021-09-25,Johnston-Cummings Stadium,24,24,52,0,18,50
115,823,2025-07-26,Garcia-Foster Stadium,64,24,116,13,14,21
116,5546,2023-10-13,"Powell, Harris and Perez Stadium",49,10,164,7,28,55
117,3296,2024-08-23,"Briggs, Arnold and Morgan Stadium",82,30,129,9,6,62
118,8956,2022-04-27,"Welch, Howard and Garcia Stadium",42,16,6,5,14,60
119,3079,2025-11-07,Patrick Group Stadium,7,18,14,8,17,61
120,7680,2020-04-23,Mcconnell-Elliott Stadium,95,2,41,3,21,23
121,2138,2021-08-24,"Jimenez, Taylor and Perez Stadium",113,11,66,5,3,5
122,1549,2022-11-17,"Bennett, Horn and Rose Stadium",17,18,188,15,3,68
123,9000,2023-09-23,Vaughn-Montoya Stadium,100,14,88,4,14,38
124,7199,2024-01-05,"Goodman, Kelley and Hensley Stadium",95,5,3,10,3,31
125,7291,2021-11-15,Graham-Duffy Stadium,52,23,32,9,21,49
126,8774,2020-05-26,Morgan-Walker Stadium,81,7,66,13,0,45
127,4908,2023-01-13,Anthony-Bryan Stadium,85,13,1,14,12,2
128,2580,2023-05-06,Garner Group Stadium,-2,30,123,1,12,72
129,1415,2021-10-26,Swanson-Lewis Stadium,64,20,184,5,17,59
130,3929,2023-09-13,"Jackson, Buck and Jones Stadium",112,9,45,7,12,27
131,2423,2023-11-28,Henry-Archer Stadium,30,18,33,1,24,18
132,5764,2020-09-02,"Baldwin, Molina and Harris Stadium",33,4,38,5,7,30
133,2556,2021-05-18,"Nichols, Green and Parker Stadium",47,5,173,6,7,29
134,9659,2026-02-05,"Dunn, Smith and Schultz Stadium",149,15,32,5,28,62
135,9452,2021-10-02,Powell Group Stadium,13,0,182,10,0,68
136,1434,2022-10-23,Matthews-Garcia Stadium,119,0,168,7,7,31
137,9089,2022-08-31,Bennett-Davis Stadium,63,9,78,5,0,22
138,6328,2022-10-03,"Marshall, Russell and Oconnor Stadium",37,29,57,7,24,40
139,1834,2024-09-02,"Wallace, Walls and Clark Stadium",2,28,103,0,0,33
140,5124,2022-12-27,"Shelton, Maldonado and Johnston Stadium",63,15,91,8,6,17
141,8213,2024-12-17,Shepard Ltd Stadium,27,24,50,3,24,57
142,9209,2021-07-10,Miller-Martin Stadium,13,29,50,5,0,49
143,8236,2024-11-18,"Duncan, Wagner and Hernandez Stadium",77,2,1,5,17,35
144,4745,2020-08-21,"Roberts, Bryant and Harmon Stadium",54,23,147,9,17,35
145,410,2022-12-27,Gonzalez Ltd Stadium,21,8,112,13,24,51
146,4613,2021-12-31,"David, Smith and Davis Stadium",82,18,22,10,14,28
147,5760,2021-11-24,"Gomez, Perez and Myers Stadium",110,9,1,13,24,38
148,3607,2020-02-28,"Rhodes, Gillespie and Thomas Stadium",37,7,3,12,3,30
149,2465,2022-10-22,Stein Group Stadium,38,29,136,15,28,36
150,8353,2023-06-18,"Mcdaniel, Davis and Fisher Stadium",9,6,104,0,17,45
151,4907,2023-02-12,"Hudson, Alvarez and Thompson Stadium",63,1,26,10,3,15
152,8387,2020-02-04,Galvan and Sons Stadium,62,23,196,10,21,59
153,9527,2024-02-29,Johnson-Watts Stadium,46,22,55,9,24,40
154,934,2021-04-05,Garcia LLC Stadium,6,29,49,12,21,25
155,2720,2021-09-19,"Rollins, Hendricks and Johnson Stadium",17,14,33,12,0,3
156,9582,2020-12-26,Wade PLC Stadium,83,22,159,9,3,62
157,4989,2021-11-28,"Watson, Lawson and Kane Stadium",16,7,62,14,7,80
158,3449,2020-08-04,Perez and Sons Stadium,87,29,161,7,17,52
159,8604,2025-09-19,"Mayer, Glass and Wilkinson Stadium",102,28,128,7,14,54
160,83,2025-06-01,Jones-Rivera Stadium,94,22,196,2,24,52
161,6287,2024-09-08,"Parker, Garcia and Bradford Stadium",111,8,28,11,3,70
162,6159,2020-12-15,Hall Ltd Stadium,126,2,73,4,21,68
163,7617,2023-09-20,"Campbell, Johnson and Lloyd Stadium",74,30,167,15,17,66
164,3733,2026-04-02,"Castillo, Robbins and Morris Stadium",11,5,155,6,21,19
165,4995,2023-08-15,"Stafford, Ramirez and Oconnor Stadium",25,18,4,11,3,67
166,580,2023-05-20,Gomez-White Stadium,-2,28,70,3,14,27
167,9510,2024-05-10,"Guerrero, Hamilton and Bonilla Stadium",74,24,171,1,21,73
168,6630,2023-08-04,Hooper and Sons Stadium,33,14,162,10,18,79
169,3142,2026-03-19,Smith Inc Stadium,137,13,109,6,24,27
170,366,2020-03-28,Johnson-Klein Stadium,34,29,59,8,6,9
171,4999,2024-10-18,"Strickland, Martin and Mays Stadium",112,5,17,10,6,9
172,7516,2021-07-12,Blake and Sons Stadium,136,28,183,5,12,18
173,6890,2022-06-05,Munoz PLC Stadium,104,23,200,11,24,10
174,7576,2024-02-09,White Inc Stadium,58,18,187,6,17,17
175,7444,2022-12-15,"King, Nichols and Mullins Stadium",134,9,8,0,17,75
176,2264,2021-03-30,Turner Ltd Stadium,104,23,5,5,3,70
177,5075,2026-01-30,Mendez and Sons Stadium,120,15,192,12,6,18
178,4860,2022-10-21,Johnson-Washington Stadium,124,12,175,8,0,47
179,7838,2023-02-13,Smith and Sons Stadium,120,19,104,8,7,30
180,150,2023-03-05,Edwards-Haynes Stadium,31,24,177,13,12,67
181,7200,2025-01-24,Stevenson-Green Stadium,109,20,33,4,14,43
182,1774,2022-03-29,Sanchez Inc Stadium,16,28,53,10,0,46
183,1971,2023-09-17,Moore and Sons Stadium,103,30,10,12,24,25
184,6716,2022-02-16,"Mendoza, Romero and Watson Stadium",135,20,195,2,0,66
185,8720,2022-05-19,"Bishop, Lopez and Bowman Stadium",78,6,29,2,7,30
186,5638,2022-01-20,Butler PLC Stadium,136,30,124,2,24,48
187,6114,2024-04-23,Mendez Ltd Stadium,13,21,105,4,12,61
188,7925,2025-11-11,"Butler, Gordon and Conrad Stadium",75,21,52,15,7,66
189,6295,2022-11-16,Everett PLC Stadium,116,8,54,11,12,57
190,1826,2022-03-17,Johnson-Warner Stadium,102,22,114,4,3,11
191,5282,2025-09-18,Williams and Sons Stadium,10,11,139,11,12,36
192,5434,2024-01-14,Phillips Ltd Stadium,80,11,6,12,24,53
193,2623,2020-02-18,Harrison-Mills Stadium,132,14,29,3,28,8
194,2336,2025-12-29,Archer PLC Stadium,12,1,82,9,17,60
195,18,2023-11-14,Morgan Inc Stadium,148,0,42,15,24,13
196,4008,2022-05-15,"Atkins, Johnson and Hampton Stadium",53,14,147,9,3,42
197,2532,2020-05-01,Curry-Barry Stadium,62,1,108,15,0,22
198,9017,2025-08-29,Matthews-Peterson Stadium,37,12,126,10,12,31
199,8325,2020-12-12,"Wells, Ortiz and Johnson Stadium",68,24,12,3,12,18
200,9200,2022-02-08,Santiago Inc Stadium,8,24,69,1,18,55
201,6679,2025-09-21,Russell PLC Stadium,23,0,191,7,24,53
202,9923,2022-01-13,Schmidt-Montes Stadium,126,12,186,0,18,50
203,5065,2020-01-13,Foster-Martin Stadium,133,24,87,14,6,24
204,4670,2024-06-12,Brewer Inc Stadium,86,15,26,2,6,37
205,1818,2023-02-28,Smith PLC Stadium,123,15,190,11,28,31
206,4138,2024-05-18,Mendoza Ltd Stadium,111,17,121,9,21,27
207,5571,2024-03-10,Erickson Group Stadium,17,26,79,2,6,44
208,1135,2024-07-22,"Kelly, Hernandez and Ward Stadium",91,28,54,9,24,45
209,8567,2023-05-30,"Brown, Johnson and Harris Stadium",59,1,162,4,24,76
210,1517,2023-02-04,"Lopez, Russell and Rice Stadium",114,12,159,3,7,46
211,4636,2026-04-25,Harper-Reyes Stadium,81,22,141,13,21,49
212,2907,2026-04-22,Hall LLC Stadium,50,16,197,12,24,49
213,7244,2022-03-01,"Newman, Adams and Nunez Stadium",46,25,77,2,6,43
214,905,2023-12-08,"Parker, Rowe and Robinson Stadium",51,11,170,15,24,58
215,5597,2020-12-18,Clark Inc Stadium,92,16,24,15,28,40
216,7609,2020-04-05,Rodriguez-Turner Stadium,23,19,130,6,3,63
217,728,2024-06-03,"Walter, Taylor and Bradshaw Stadium",34,10,143,13,28,7
218,9812,2021-06-17,Schmidt Inc Stadium,126,29,52,6,0,56
219,1838,2020-10-11,"Ramos, Odonnell and Holland Stadium",11,18,32,9,28,74
220,8679,2020-10-27,Cervantes-Griffith Stadium,141,26,180,11,17,3
221,3533,2021-02-01,"Murphy, Collins and Wilson Stadium",47,20,5,12,12,42
222,4223,2026-04-14,Buck-Johnson Stadium,30,26,178,1,7,34
223,2210,2024-07-14,"Martinez, Neal and Meza Stadium",38,17,95,8,0,29
224,5016,2020-11-20,Ibarra Group Stadium,23,27,200,15,17,27
225,2272,2022-04-19,"Moore, Romero and Joseph Stadium",141,16,168,4,17,19
226,2246,2023-02-23,"Hawkins, Chavez and Reid Stadium",0,14,76,11,7,10
227,6375,2021-11-22,Graves Ltd Stadium,3,19,195,12,3,75
228,6355,2025-08-31,Lynch and Sons Stadium,112,20,180,5,24,33
229,1141,2025-03-06,Jimenez LLC Stadium,74,1,141,14,3,55
230,8234,2022-09-22,Jones-Cobb Stadium,48,2,48,14,24,26
231,9028,2026-02-09,"Koch, Williams and Lopez Stadium",12,2,56,7,14,14
232,4697,2021-11-15,Hawkins LLC Stadium,6,26,98,15,7,45
233,3534,2024-12-19,Lindsey Ltd Stadium,6,5,47,0,24,17
234,9113,2021-12-19,Forbes Ltd Stadium,33,25,28,14,12,78
235,7665,2020-12-31,Hughes PLC Stadium,56,14,88,0,7,54
236,4633,2023-10-08,Lee-Perez Stadium,122,27,120,1,12,9
237,5669,2022-01-06,"Henson, Vance and Young Stadium",119,13,125,9,0,53
238,7140,2023-01-25,"Haas, Alvarado and Murray Stadium",49,29,0,8,21,50
239,2623,2022-12-30,"Harris, Gomez and Juarez Stadium",148,22,144,3,21,79
240,5279,2026-03-25,Contreras Group Stadium,20,30,174,7,0,30
241,3459,2022-01-25,Cruz-Simon Stadium,1,26,157,8,18,20
242,9723,2020-08-25,Anderson LLC Stadium,123,25,128,12,12,6
243,6763,2023-03-02,Morse Inc Stadium,116,24,187,0,17,31
244,8356,2026-03-10,Lawrence Ltd Stadium,50,28,185,8,12,22
245,498,2022-01-06,Jones Group Stadium,74,5,104,11,17,55
246,7548,2020-02-17,Moore LLC Stadium,6,25,71,1,24,40
247,6932,2024-01-03,Stewart Ltd Stadium,101,27,39,15,17,1
248,9587,2025-10-08,Higgins-Davis Stadium,91,22,191,0,18,34
249,4494,2024-10-22,Johnson-Carroll Stadium,33,10,184,5,21,73
250,3858,2023-10-06,"Lee, Johnston and Skinner Stadium",79,3,47,2,21,35
251,2144,2020-01-05,"Olson, Williams and Hicks Stadium",138,6,146,1,24,36
252,8407,2023-10-06,"Lee, Anderson and Morris Stadium",104,23,74,5,18,38
253,399,2022-12-16,"Park, Campbell and Hale Stadium",33,4,31,0,17,11
254,1074,2020-07-08,Johnson-Carr Stadium,102,13,51,6,24,45
255,7708,2020-08-01,Guerra-White Stadium,19,7,40,11,12,34
256,435,2024-07-05,Smith Inc Stadium,85,0,122,10,14,28
257,564,2024-07-05,Nelson Ltd Stadium,95,28,175,7,6,61
258,3144,2023-08-30,"Welch, Jarvis and Roman Stadium",4,11,166,1,3,25
259,3020,2022-06-29,Morgan Ltd Stadium,74,10,37,10,17,71
260,2032,2025-04-09,"Heath, Bennett and Crawford Stadium",139,19,199,6,14,35
261,1350,2025-01-29,Clark-Jackson Stadium,11,30,186,10,14,18
262,8339,2024-12-09,Hawkins Group Stadium,58,14,96,5,28,37
263,4522,2024-11-04,Snyder-Sanchez Stadium,5,23,49,11,7,17
264,8741,2022-11-17,Harrison-Vaughn Stadium,138,9,156,5,3,38
265,2616,2024-12-28,Obrien Ltd Stadium,47,10,41,10,0,33
266,35,2020-08-10,"Kennedy, Johnson and Davis Stadium",128,8,7,7,6,21
267,4668,2022-04-15,Payne-Jackson Stadium,15,25,170,0,21,32
268,6903,2024-02-17,King-Davis Stadium,4,21,56,0,18,30
269,3249,2022-01-28,"Smith, Bass and Dominguez Stadium",24,7,115,2,24,30
270,1396,2023-05-22,Bowen Group Stadium,8,27,3,6,18,75
271,978,2022-05-29,Jackson-Duncan Stadium,18,7,150,13,7,50
272,1765,2024-01-29,Li PLC Stadium,1,3,86,12,17,54
273,8242,2021-05-02,Williams-Mullen Stadium,51,25,194,1,18,55
274,3536,2021-09-13,Stewart and Sons Stadium,145,2,135,8,28,78
275,6304,2022-01-10,Bowman LLC Stadium,117,10,88,11,21,44
276,1964,2025-01-04,Nguyen Inc Stadium,24,22,25,9,18,7
277,6690,2021-06-07,Fisher-Ramos Stadium,139,7,105,13,18,78
278,9515,2022-12-10,"Hodges, Sellers and Burke Stadium",58,2,4,14,17,63
279,2826,2020-01-08,Owen Group Stadium,29,26,13,1,17,50
280,7273,2022-02-01,Rivera-Spence Stadium,137,27,17,6,21,9
281,5618,2024-07-27,"Green, Hunter and Lee Stadium",52,15,158,6,6,72
282,6528,2025-04-25,"Young, Reid and Campbell Stadium",122,14,136,11,12,9
283,7776,2022-01-13,Mendoza-Lopez Stadium,97,27,71,4,0,39
284,2871,2025-06-14,"Jones, Black and Collier Stadium",122,2,73,8,18,70
285,1571,2024-10-07,Flores Ltd Stadium,16,26,139,3,21,70
286,7414,2022-06-19,Perry-Hernandez Stadium,129,8,129,5,21,52
287,4016,2023-08-05,"Perez, Clark and Richardson Stadium",-1,6,94,1,6,58
288,8455,2022-04-14,Moore Ltd Stadium,36,8,94,8,24,51
289,9240,2025-11-11,Martin PLC Stadium,74,29,47,10,21,80
290,1920,2025-06-02,Meyer-Martinez Stadium,-2,5,127,0,6,50
291,9030,2021-05-12,"Hughes, Henry and Joseph Stadium",44,23,200,11,14,19
292,7702,2023-06-17,Bullock PLC Stadium,90,5,109,9,28,57
293,1536,2020-04-07,Smith Group Stadium,121,1,69,10,24,8
294,9133,2023-02-25,Barrett-Cook Stadium,55,5,81,9,17,58
295,8711,2022-02-25,Smith PLC Stadium,49,24,26,12,6,52
296,342,2020-02-05,Robinson-Bell Stadium,28,20,187,5,21,30
297,3746,2025-07-12,Malone Ltd Stadium,27,5,147,13,14,30
298,3849,2024-03-08,Ortiz Ltd Stadium,93,15,132,5,18,48
299,1541,2021-06-08,"Myers, Barker and Gates Stadium",149,17,200,7,12,2
300,131,2021-05-25,White-Newman Stadium,53,13,173,6,28,29
301,9756,2020-08-19,Francis-Dominguez Stadium,82,10,97,11,6,62
302,8597,2023-06-17,"Oliver, Rubio and Johnson Stadium",134,9,44,10,21,5
303,2466,2021-01-07,Burton-Nguyen Stadium,50,22,126,9,6,59
304,8481,2025-11-03,Martin Group Stadium,60,30,100,5,17,4
305,1575,2025-05-04,Gomez and Sons Stadium,-1,12,145,7,0,47
306,573,2026-01-14,Mcguire-Romero Stadium,127,17,32,14,7,26
307,897,2022-03-25,"Riley, Wagner and Martin Stadium",99,11,177,11,21,57
308,9246,2021-04-24,Rivas PLC Stadium,104,15,100,10,28,30
309,5641,2022-06-17,"Hall, Blankenship and Wilson Stadium",22,26,68,3,17,17
310,7021,2025-01-28,"Webb, Bond and Farley Stadium",92,25,193,8,21,7
311,9040,2023-02-09,Chandler LLC Stadium,115,5,37,4,3,64
312,4627,2020-01-25,Phelps-Ford Stadium,64,16,26,3,6,23
313,1240,2025-04-18,Jones-Cantrell Stadium,44,3,101,5,17,14
314,2151,2022-11-27,Taylor Inc Stadium,124,30,103,14,24,14
315,6715,2022-12-04,"Castro, Ho and Riley Stadium",106,19,67,3,7,77
316,8765,2023-08-25,"Hernandez, Foster and Ashley Stadium",68,1,56,11,24,24
317,9799,2025-12-18,Lawson-Reed Stadium,115,2,161,4,17,6
318,2671,2024-09-02,Ford Inc Stadium,1,26,82,10,28,46
319,4652,2022-10-28,"Fuller, Page and Juarez Stadium",89,11,190,6,17,78
320,4100,2020-05-25,Ryan PLC Stadium,80,0,120,5,6,76
321,1610,2023-03-21,Callahan-Mcfarland Stadium,95,16,92,9,17,68
322,8176,2025-02-13,Powell-Sandoval Stadium,43,6,149,3,21,31
323,7737,2020-10-30,Vaughn and Sons Stadium,87,8,196,1,7,48
324,591,2022-10-07,Smith LLC Stadium,76,21,116,0,12,43
325,6571,2020-11-05,"Rodriguez, Miller and Robertson Stadium",25,28,10,5,6,61
326,4918,2023-05-05,"Campbell, Bright and Harmon Stadium",94,21,67,13,28,66
327,1741,2024-11-10,"Bentley, Gilmore and Morrison Stadium",36,18,24,3,18,16
328,8545,2022-03-10,"Evans, Morgan and Benton Stadium",8,24,108,6,17,63
329,4772,2025-06-18,"Mckee, Roberts and Christensen Stadium",28,12,131,5,12,44
330,3756,2024-05-18,"Allen, Nelson and Harrington Stadium",146,16,51,11,3,21
331,6714,2025-08-10,Ford-Briggs Stadium,51,23,200,1,7,52
332,1761,2024-02-25,"Meyer, Tate and Ray Stadium",17,3,178,11,18,5
333,7321,2020-08-31,Lee-Rodriguez Stadium,141,30,64,10,24,31
334,1312,2024-05-05,Smith PLC Stadium,62,11,198,12,17,27
335,7726,2021-12-25,Novak LLC Stadium,136,25,27,12,28,8
336,5796,2024-06-01,Love PLC Stadium,67,24,194,15,3,42
337,6529,2025-12-02,Hughes Group Stadium,17,11,47,15,3,29
338,8338,2026-04-27,Padilla Ltd Stadium,26,28,130,2,0,42
339,8513,2021-09-19,"Rowland, Shields and Hanson Stadium",138,12,150,1,28,66
340,2243,2026-03-26,"Walker, Peterson and Newman Stadium",8,0,175,5,18,50
341,8519,2025-04-12,"Lawrence, Morrison and Cohen Stadium",74,0,10,0,6,72
342,2391,2024-12-12,"Turner, Sanders and Berry Stadium",94,5,157,14,7,44
343,1581,2024-01-07,Suarez LLC Stadium,46,8,138,3,3,52
344,1676,2021-01-12,Ross-James Stadium,34,16,26,15,3,46
345,5489,2025-02-18,"Le, Brown and Ruiz Stadium",122,13,139,11,3,40
346,7507,2020-10-16,"Santiago, Brown and Schultz Stadium",87,12,49,1,0,27
347,9674,2021-09-04,"Clarke, Campos and Smith Stadium",54,30,75,9,7,28
348,1739,2020-06-12,"Jones, Andrews and Morris Stadium",10,1,107,15,6,32
349,2964,2021-12-08,"Roberson, Barnes and Lopez Stadium",71,8,74,3,14,25
350,8591,2023-04-13,Weber LLC Stadium,68,14,171,15,28,45
351,8527,2024-06-27,"Mckay, Santiago and Cobb Stadium",55,21,141,0,3,7
352,1611,2026-04-13,White Group Stadium,49,18,95,15,21,7
353,1869,2023-01-15,"Petersen, Lambert and Mcgrath Stadium",146,29,136,6,7,60
354,2947,2020-09-29,Munoz PLC Stadium,76,9,23,12,0,63
355,1720,2022-01-06,Brown Group Stadium,82,17,155,12,0,7
356,5175,2021-09-04,Friedman-Alexander Stadium,123,5,88,2,0,79
357,7775,2022-07-02,Williams Group Stadium,138,13,84,11,24,3
358,5268,2024-12-25,Guerra LLC Stadium,93,10,95,0,6,25
